dataset,sequence_id,sequence,method,evaluated_frames,success_auc
UAV2UAV-2,S01,test10_jl_hbd_1,SUTrack-B224,389,0.7473374954094748
UAV2UAV-2,S01,test10_jl_hbd_1,ARTrackV2-B-256,389,0.7224874525645735
UAV2UAV-2,S01,test10_jl_hbd_1,MCITrack-B224,389,0.7364426490390501
UAV2UAV-2,S01,test10_jl_hbd_1,UETrack-B,389,0.6900477414616232
UAV2UAV-2,S01,test10_jl_hbd_1,RLSM-IMMTrack,389,0.7578650997674133
UAV2UAV-2,S02,test10_jl_hbd_2,SUTrack-B224,137,0.713590545707334
UAV2UAV-2,S02,test10_jl_hbd_2,ARTrackV2-B-256,137,0.5755995828988529
UAV2UAV-2,S02,test10_jl_hbd_2,MCITrack-B224,137,0.6732707681612791
UAV2UAV-2,S02,test10_jl_hbd_2,UETrack-B,137,0.6955161626694474
UAV2UAV-2,S02,test10_jl_hbd_2,RLSM-IMMTrack,137,0.724365658672228
UAV2UAV-2,S03,test10_jl_hbd_3,SUTrack-B224,742,0.7637658837119753
UAV2UAV-2,S03,test10_jl_hbd_3,ARTrackV2-B-256,742,0.7457964317802593
UAV2UAV-2,S03,test10_jl_hbd_3,MCITrack-B224,742,0.7546528045180336
UAV2UAV-2,S03,test10_jl_hbd_3,UETrack-B,742,0.7374534719548196
UAV2UAV-2,S03,test10_jl_hbd_3,RLSM-IMMTrack,742,0.7718521370812477
UAV2UAV-2,S04,test10_jl_hbd_4,SUTrack-B224,287,0.05276256844201095
UAV2UAV-2,S04,test10_jl_hbd_4,ARTrackV2-B-256,287,0.08943089430894309
UAV2UAV-2,S04,test10_jl_hbd_4,MCITrack-B224,287,0.05209888833582214
UAV2UAV-2,S04,test10_jl_hbd_4,UETrack-B,287,0.1670814667330347
UAV2UAV-2,S04,test10_jl_hbd_4,RLSM-IMMTrack,287,0.05276256844201095
UAV2UAV-2,S05,test10_jl_hbd_5,SUTrack-B224,309,0.7096625057790106
UAV2UAV-2,S05,test10_jl_hbd_5,ARTrackV2-B-256,309,0.7458776390815226
UAV2UAV-2,S05,test10_jl_hbd_5,MCITrack-B224,309,0.713823393435044
UAV2UAV-2,S05,test10_jl_hbd_5,UETrack-B,309,0.7130528586839266
UAV2UAV-2,S05,test10_jl_hbd_5,RLSM-IMMTrack,309,0.7415626444752658
UAV2UAV-2,S06,test10_jl_hbd_6,SUTrack-B224,184,0.812888198757764
UAV2UAV-2,S06,test10_jl_hbd_6,ARTrackV2-B-256,184,0.7877846790890272
UAV2UAV-2,S06,test10_jl_hbd_6,MCITrack-B224,184,0.8157349896480331
UAV2UAV-2,S06,test10_jl_hbd_6,UETrack-B,184,0.797360248447205
UAV2UAV-2,S06,test10_jl_hbd_6,RLSM-IMMTrack,184,0.812888198757764
UAV2UAV-2,S07,test10_jl_hbd_7,SUTrack-B224,138,0.36024844720496885
UAV2UAV-2,S07,test10_jl_hbd_7,ARTrackV2-B-256,138,0.47515527950310554
UAV2UAV-2,S07,test10_jl_hbd_7,MCITrack-B224,138,0.3423050379572118
UAV2UAV-2,S07,test10_jl_hbd_7,UETrack-B,138,0.5037957211870255
UAV2UAV-2,S07,test10_jl_hbd_7,RLSM-IMMTrack,138,0.3954451345755693
UAV2UAV-2,S08,test10_jl_hbd_8,SUTrack-B224,123,0.8552071234998065
UAV2UAV-2,S08,test10_jl_hbd_8,ARTrackV2-B-256,123,0.8284939992257065
UAV2UAV-2,S08,test10_jl_hbd_8,MCITrack-B224,123,0.850561362756485
UAV2UAV-2,S08,test10_jl_hbd_8,UETrack-B,123,0.850561362756485
UAV2UAV-2,S08,test10_jl_hbd_8,RLSM-IMMTrack,123,0.8552071234998065
UAV2UAV-2,S09,test10_jl_hbd_9,SUTrack-B224,341,0.8567239212400501
UAV2UAV-2,S09,test10_jl_hbd_9,ARTrackV2-B-256,341,0.8582600195503421
UAV2UAV-2,S09,test10_jl_hbd_9,MCITrack-B224,341,0.8476469766792347
UAV2UAV-2,S09,test10_jl_hbd_9,UETrack-B,341,0.8607736349671833
UAV2UAV-2,S09,test10_jl_hbd_9,RLSM-IMMTrack,341,0.8567239212400501
UAV2UAV-2,S10,test11_dj_1,SUTrack-B224,260,0.7597069597069598
UAV2UAV-2,S10,test11_dj_1,ARTrackV2-B-256,260,0.741941391941392
UAV2UAV-2,S10,test11_dj_1,MCITrack-B224,260,0.8241758241758242
UAV2UAV-2,S10,test11_dj_1,UETrack-B,260,0.737912087912088
UAV2UAV-2,S10,test11_dj_1,RLSM-IMMTrack,260,0.7597069597069598
UAV2UAV-2,S11,test11_dj_2,SUTrack-B224,625,0.7959619047619048
UAV2UAV-2,S11,test11_dj_2,ARTrackV2-B-256,625,0.7709714285714284
UAV2UAV-2,S11,test11_dj_2,MCITrack-B224,625,0.8152380952380953
UAV2UAV-2,S11,test11_dj_2,UETrack-B,625,0.8133333333333332
UAV2UAV-2,S11,test11_dj_2,RLSM-IMMTrack,625,0.7959619047619048
UAV2UAV-2,S12,test11_dj_3,SUTrack-B224,215,0.7884828349944628
UAV2UAV-2,S12,test11_dj_3,ARTrackV2-B-256,215,0.8086378737541527
UAV2UAV-2,S12,test11_dj_3,MCITrack-B224,215,0.8403100775193797
UAV2UAV-2,S12,test11_dj_3,UETrack-B,215,0.7900332225913621
UAV2UAV-2,S12,test11_dj_3,RLSM-IMMTrack,215,0.7884828349944628
UAV2UAV-2,S13,test11_dj_4,SUTrack-B224,564,0.8343465045592705
UAV2UAV-2,S13,test11_dj_4,ARTrackV2-B-256,564,0.8371327254305977
UAV2UAV-2,S13,test11_dj_4,MCITrack-B224,564,0.874788922661263
UAV2UAV-2,S13,test11_dj_4,UETrack-B,564,0.7262749071259709
UAV2UAV-2,S13,test11_dj_4,RLSM-IMMTrack,564,0.8343465045592705
UAV2UAV-2,S14,test1_DJI_0081_1,SUTrack-B224,217,0.7559798112793505
UAV2UAV-2,S14,test1_DJI_0081_1,ARTrackV2-B-256,217,0.727671713846829
UAV2UAV-2,S14,test1_DJI_0081_1,MCITrack-B224,217,0.7022163704191355
UAV2UAV-2,S14,test1_DJI_0081_1,UETrack-B,217,0.6998025016458195
UAV2UAV-2,S14,test1_DJI_0081_1,RLSM-IMMTrack,217,0.7559798112793505
UAV2UAV-2,S15,test1_DJI_0081_2,SUTrack-B224,729,0.8923509046965837
UAV2UAV-2,S15,test1_DJI_0081_2,ARTrackV2-B-256,729,0.8892154941537657
UAV2UAV-2,S15,test1_DJI_0081_2,MCITrack-B224,729,0.9046965837089294
UAV2UAV-2,S15,test1_DJI_0081_2,UETrack-B,729,0.8978378731465151
UAV2UAV-2,S15,test1_DJI_0081_2,RLSM-IMMTrack,729,0.8928081520674112
UAV2UAV-2,S16,test1_DJI_0081_3,SUTrack-B224,129,0.7515688445921004
UAV2UAV-2,S16,test1_DJI_0081_3,ARTrackV2-B-256,129,0.7515688445921004
UAV2UAV-2,S16,test1_DJI_0081_3,MCITrack-B224,129,0.757844222960502
UAV2UAV-2,S16,test1_DJI_0081_3,UETrack-B,129,0.7416020671834624
UAV2UAV-2,S16,test1_DJI_0081_3,RLSM-IMMTrack,129,0.7711332595053525
UAV2UAV-2,S17,test1_DJI_0081_4,SUTrack-B224,314,0.8290870488322717
UAV2UAV-2,S17,test1_DJI_0081_4,ARTrackV2-B-256,314,0.7957233848953594
UAV2UAV-2,S17,test1_DJI_0081_4,MCITrack-B224,314,0.8099787685774947
UAV2UAV-2,S17,test1_DJI_0081_4,UETrack-B,314,0.8119502578101303
UAV2UAV-2,S17,test1_DJI_0081_4,RLSM-IMMTrack,314,0.8292387018501669
UAV2UAV-2,S18,test3_DJI_0087_1,SUTrack-B224,400,0.9013095238095239
UAV2UAV-2,S18,test3_DJI_0087_1,ARTrackV2-B-256,400,0.47630952380952385
UAV2UAV-2,S18,test3_DJI_0087_1,MCITrack-B224,400,0.9069047619047618
UAV2UAV-2,S18,test3_DJI_0087_1,UETrack-B,400,0.8838095238095239
UAV2UAV-2,S18,test3_DJI_0087_1,RLSM-IMMTrack,400,0.9013095238095239
UAV2UAV-2,S19,test3_DJI_0087_2,SUTrack-B224,319,0.8341543513957306
UAV2UAV-2,S19,test3_DJI_0087_2,ARTrackV2-B-256,319,0.824899238692342
UAV2UAV-2,S19,test3_DJI_0087_2,MCITrack-B224,319,0.8277354829078967
UAV2UAV-2,S19,test3_DJI_0087_2,UETrack-B,319,0.8289296909986564
UAV2UAV-2,S19,test3_DJI_0087_2,RLSM-IMMTrack,319,0.8341543513957306
UAV2UAV-2,S20,test3_DJI_0087_3,SUTrack-B224,165,0.11024531024531023
UAV2UAV-2,S20,test3_DJI_0087_3,ARTrackV2-B-256,165,0.23867243867243862
UAV2UAV-2,S20,test3_DJI_0087_3,MCITrack-B224,165,0.06637806637806638
UAV2UAV-2,S20,test3_DJI_0087_3,UETrack-B,165,0.2634920634920634
UAV2UAV-2,S20,test3_DJI_0087_3,RLSM-IMMTrack,165,0.10505050505050505
UAV2UAV-2,S21,test3_DJI_0087_4,SUTrack-B224,200,0.8526190476190475
UAV2UAV-2,S21,test3_DJI_0087_4,ARTrackV2-B-256,200,0.848095238095238
UAV2UAV-2,S21,test3_DJI_0087_4,MCITrack-B224,200,0.852142857142857
UAV2UAV-2,S21,test3_DJI_0087_4,UETrack-B,200,0.8452380952380952
UAV2UAV-2,S21,test3_DJI_0087_4,RLSM-IMMTrack,200,0.8526190476190475
UAV2UAV-2,S22,test3_DJI_0087_5,SUTrack-B224,302,0.8607694733522547
UAV2UAV-2,S22,test3_DJI_0087_5,ARTrackV2-B-256,302,0.8585619678334909
UAV2UAV-2,S22,test3_DJI_0087_5,MCITrack-B224,302,0.859981078524125
UAV2UAV-2,S22,test3_DJI_0087_5,UETrack-B,302,0.8555660674865971
UAV2UAV-2,S22,test3_DJI_0087_5,RLSM-IMMTrack,302,0.8607694733522547
UAV2UAV-2,S23,test3_DJI_0087_6,SUTrack-B224,516,0.7936507936507935
UAV2UAV-2,S23,test3_DJI_0087_6,ARTrackV2-B-256,516,0.7920819490586931
UAV2UAV-2,S23,test3_DJI_0087_6,MCITrack-B224,516,0.7888519748984864
UAV2UAV-2,S23,test3_DJI_0087_6,UETrack-B,516,0.7690107050572166
UAV2UAV-2,S23,test3_DJI_0087_6,RLSM-IMMTrack,516,0.8049095607235143
UAV2UAV-2,S24,test3_DJI_0087_7,SUTrack-B224,159,0.2458820005989818
UAV2UAV-2,S24,test3_DJI_0087_7,ARTrackV2-B-256,159,0.24947589098532505
UAV2UAV-2,S24,test3_DJI_0087_7,MCITrack-B224,159,0.24378556454028158
UAV2UAV-2,S24,test3_DJI_0087_7,UETrack-B,159,0.2455825097334532
UAV2UAV-2,S24,test3_DJI_0087_7,RLSM-IMMTrack,159,0.2458820005989818
UAV2UAV-2,S25,test3_DJI_0087_8,SUTrack-B224,211,0.8616565109456105
UAV2UAV-2,S25,test3_DJI_0087_8,ARTrackV2-B-256,211,0.8587226359738208
UAV2UAV-2,S25,test3_DJI_0087_8,MCITrack-B224,211,0.8641390205371248
UAV2UAV-2,S25,test3_DJI_0087_8,UETrack-B,211,0.8600767321146469
UAV2UAV-2,S25,test3_DJI_0087_8,RLSM-IMMTrack,211,0.8616565109456105
UAV2UAV-2,S26,test4_DJI_0101_1,SUTrack-B224,986,0.8105863034869122
UAV2UAV-2,S26,test4_DJI_0101_1,ARTrackV2-B-256,986,0.8222254419008983
UAV2UAV-2,S26,test4_DJI_0101_1,MCITrack-B224,986,0.8566116101613058
UAV2UAV-2,S26,test4_DJI_0101_1,UETrack-B,986,0.8212112431179369
UAV2UAV-2,S26,test4_DJI_0101_1,RLSM-IMMTrack,986,0.8105863034869122
UAV2UAV-2,S27,test4_DJI_0101_2,SUTrack-B224,556,0.7696128811236724
UAV2UAV-2,S27,test4_DJI_0101_2,ARTrackV2-B-256,556,0.7477732100034258
UAV2UAV-2,S27,test4_DJI_0101_2,MCITrack-B224,556,0.8138060979787598
UAV2UAV-2,S27,test4_DJI_0101_2,UETrack-B,556,0.7550531003768414
UAV2UAV-2,S27,test4_DJI_0101_2,RLSM-IMMTrack,556,0.7694415895854745
UAV2UAV-2,S28,test4_DJI_0101_3,SUTrack-B224,248,0.5627880184331796
UAV2UAV-2,S28,test4_DJI_0101_3,ARTrackV2-B-256,248,0.6945084485407066
UAV2UAV-2,S28,test4_DJI_0101_3,MCITrack-B224,248,0.331605222734255
UAV2UAV-2,S28,test4_DJI_0101_3,UETrack-B,248,0.5612519201228878
UAV2UAV-2,S28,test4_DJI_0101_3,RLSM-IMMTrack,248,0.5810291858678953
UAV2UAV-2,S29,test4_DJI_0101_4,SUTrack-B224,836,0.7216336295283664
UAV2UAV-2,S29,test4_DJI_0101_4,ARTrackV2-B-256,836,0.3283777625882889
UAV2UAV-2,S29,test4_DJI_0101_4,MCITrack-B224,836,0.7677147413989519
UAV2UAV-2,S29,test4_DJI_0101_4,UETrack-B,836,0.469753930280246
UAV2UAV-2,S29,test4_DJI_0101_4,RLSM-IMMTrack,836,0.7226589200273411
UAV2UAV-2,S30,test5_DJI_0102_1,SUTrack-B224,60,0.6388888888888888
UAV2UAV-2,S30,test5_DJI_0102_1,ARTrackV2-B-256,60,0.5547619047619049
UAV2UAV-2,S30,test5_DJI_0102_1,MCITrack-B224,60,0.6515873015873017
UAV2UAV-2,S30,test5_DJI_0102_1,UETrack-B,60,0.503968253968254
UAV2UAV-2,S30,test5_DJI_0102_1,RLSM-IMMTrack,60,0.6388888888888888
UAV2UAV-2,S31,test5_DJI_0102_2,SUTrack-B224,306,0.813569872393402
UAV2UAV-2,S31,test5_DJI_0102_2,ARTrackV2-B-256,306,0.796451914098973
UAV2UAV-2,S31,test5_DJI_0102_2,MCITrack-B224,306,0.8008092125739185
UAV2UAV-2,S31,test5_DJI_0102_2,UETrack-B,306,0.8018985371926549
UAV2UAV-2,S31,test5_DJI_0102_2,RLSM-IMMTrack,306,0.813569872393402
UAV2UAV-2,S32,test5_DJI_0102_3,SUTrack-B224,217,0.8308097432521396
UAV2UAV-2,S32,test5_DJI_0102_3,ARTrackV2-B-256,217,0.7059468948869869
UAV2UAV-2,S32,test5_DJI_0102_3,MCITrack-B224,217,0.7834101382488479
UAV2UAV-2,S32,test5_DJI_0102_3,UETrack-B,217,0.7182356813693219
