dataset,method,curve,threshold,score
UAV2UAV-2,SUTrack-B224,success,0.0,1.0
UAV2UAV-2,SUTrack-B224,success,0.05,0.9359172384065519
UAV2UAV-2,SUTrack-B224,success,0.1,0.9338697510686447
UAV2UAV-2,SUTrack-B224,success,0.15000000000000002,0.9319659470526959
UAV2UAV-2,SUTrack-B224,success,0.2,0.9290563597830381
UAV2UAV-2,SUTrack-B224,success,0.25,0.9240633643449837
UAV2UAV-2,SUTrack-B224,success,0.30000000000000004,0.9180645856532204
UAV2UAV-2,SUTrack-B224,success,0.35000000000000003,0.9071446531843816
UAV2UAV-2,SUTrack-B224,success,0.4,0.8912317252774884
UAV2UAV-2,SUTrack-B224,success,0.45,0.8709364560508639
UAV2UAV-2,SUTrack-B224,success,0.5,0.8452889830812889
UAV2UAV-2,SUTrack-B224,success,0.55,0.8106253816588239
UAV2UAV-2,SUTrack-B224,success,0.6000000000000001,0.7661194726822084
UAV2UAV-2,SUTrack-B224,success,0.65,0.7113042853550774
UAV2UAV-2,SUTrack-B224,success,0.7000000000000001,0.6511728151154854
UAV2UAV-2,SUTrack-B224,success,0.75,0.5827077122023061
UAV2UAV-2,SUTrack-B224,success,0.8,0.49003196953913575
UAV2UAV-2,SUTrack-B224,success,0.8500000000000001,0.36057329645461406
UAV2UAV-2,SUTrack-B224,success,0.9,0.20431768382485002
UAV2UAV-2,SUTrack-B224,success,0.9500000000000001,0.05014547936348288
UAV2UAV-2,SUTrack-B224,success,1.0,0.0011853874061568304
UAV2UAV-2,SUTrack-B224,center_precision,0.0,0.001760120693990445
UAV2UAV-2,SUTrack-B224,center_precision,1.0,0.07209310679262905
UAV2UAV-2,SUTrack-B224,center_precision,2.0,0.21046014583857178
UAV2UAV-2,SUTrack-B224,center_precision,3.0,0.33374043607888215
UAV2UAV-2,SUTrack-B224,center_precision,4.0,0.4290024785373038
UAV2UAV-2,SUTrack-B224,center_precision,5.0,0.5114048636804482
UAV2UAV-2,SUTrack-B224,center_precision,6.0,0.5769963001544596
UAV2UAV-2,SUTrack-B224,center_precision,7.0,0.6332483207011746
UAV2UAV-2,SUTrack-B224,center_precision,8.0,0.6827472251158446
UAV2UAV-2,SUTrack-B224,center_precision,9.0,0.7226911886202809
UAV2UAV-2,SUTrack-B224,center_precision,10.0,0.755450986026797
UAV2UAV-2,SUTrack-B224,center_precision,11.0,0.780200438234132
UAV2UAV-2,SUTrack-B224,center_precision,12.0,0.8015733323754445
UAV2UAV-2,SUTrack-B224,center_precision,13.0,0.8185638851970257
UAV2UAV-2,SUTrack-B224,center_precision,14.0,0.8343331297819606
UAV2UAV-2,SUTrack-B224,center_precision,15.0,0.84607924135206
UAV2UAV-2,SUTrack-B224,center_precision,16.0,0.858328244549014
UAV2UAV-2,SUTrack-B224,center_precision,17.0,0.8680627896116958
UAV2UAV-2,SUTrack-B224,center_precision,18.0,0.8744926182693343
UAV2UAV-2,SUTrack-B224,center_precision,19.0,0.8810302094184418
UAV2UAV-2,SUTrack-B224,center_precision,20.0,0.8859154423650275
UAV2UAV-2,SUTrack-B224,center_precision,21.0,0.8902977836847588
UAV2UAV-2,SUTrack-B224,center_precision,22.0,0.8936384209202917
UAV2UAV-2,SUTrack-B224,center_precision,23.0,0.8972664247997414
UAV2UAV-2,SUTrack-B224,center_precision,24.0,0.8994935162900967
UAV2UAV-2,SUTrack-B224,center_precision,25.0,0.9023312618987751
UAV2UAV-2,SUTrack-B224,center_precision,26.0,0.9048097992025576
UAV2UAV-2,SUTrack-B224,center_precision,27.0,0.9068932073709545
UAV2UAV-2,SUTrack-B224,center_precision,28.0,0.9083659614210281
UAV2UAV-2,SUTrack-B224,center_precision,29.0,0.9097668738101224
UAV2UAV-2,SUTrack-B224,center_precision,30.0,0.9110959445382377
UAV2UAV-2,SUTrack-B224,center_precision,31.0,0.9130356693846762
UAV2UAV-2,SUTrack-B224,center_precision,32.0,0.9141492151298538
UAV2UAV-2,SUTrack-B224,center_precision,33.0,0.915298681705521
UAV2UAV-2,SUTrack-B224,center_precision,34.0,0.9163044649592299
UAV2UAV-2,SUTrack-B224,center_precision,35.0,0.9172024857214699
UAV2UAV-2,SUTrack-B224,center_precision,36.0,0.9182082689751787
UAV2UAV-2,SUTrack-B224,center_precision,37.0,0.9191422105679083
UAV2UAV-2,SUTrack-B224,center_precision,38.0,0.9196091813642732
UAV2UAV-2,SUTrack-B224,center_precision,39.0,0.9203635188045548
UAV2UAV-2,SUTrack-B224,center_precision,40.0,0.9209382520923883
UAV2UAV-2,SUTrack-B224,center_precision,41.0,0.921512985380222
UAV2UAV-2,SUTrack-B224,center_precision,42.0,0.9221954811595244
UAV2UAV-2,SUTrack-B224,center_precision,43.0,0.9227702144473581
UAV2UAV-2,SUTrack-B224,center_precision,44.0,0.9232012644132332
UAV2UAV-2,SUTrack-B224,center_precision,45.0,0.9238119185315564
UAV2UAV-2,SUTrack-B224,center_precision,46.0,0.9245662559718381
UAV2UAV-2,SUTrack-B224,center_precision,47.0,0.9252128309206509
UAV2UAV-2,SUTrack-B224,center_precision,48.0,0.9255361183950573
UAV2UAV-2,SUTrack-B224,center_precision,49.0,0.9259312475304429
UAV2UAV-2,SUTrack-B224,center_precision,50.0,0.9265419016487662
UAV2UAV-2,SUTrack-B224,normalized_precision,0.0,0.001760120693990445
UAV2UAV-2,SUTrack-B224,normalized_precision,0.01,0.0747153274183699
UAV2UAV-2,SUTrack-B224,normalized_precision,0.02,0.21721326197061677
UAV2UAV-2,SUTrack-B224,normalized_precision,0.03,0.35572398433851793
UAV2UAV-2,SUTrack-B224,normalized_precision,0.04,0.4643844965695607
UAV2UAV-2,SUTrack-B224,normalized_precision,0.05,0.5494450231689356
UAV2UAV-2,SUTrack-B224,normalized_precision,0.06,0.6234778548080031
UAV2UAV-2,SUTrack-B224,normalized_precision,0.07,0.6789755379144365
UAV2UAV-2,SUTrack-B224,normalized_precision,0.08,0.7223679011458745
UAV2UAV-2,SUTrack-B224,normalized_precision,0.09,0.7557383526707138
UAV2UAV-2,SUTrack-B224,normalized_precision,0.1,0.7832896296562376
UAV2UAV-2,SUTrack-B224,normalized_precision,0.11,0.8034052947304142
UAV2UAV-2,SUTrack-B224,normalized_precision,0.12,0.8208268975178706
UAV2UAV-2,SUTrack-B224,normalized_precision,0.13,0.8349078630697941
UAV2UAV-2,SUTrack-B224,normalized_precision,0.14,0.8476597578936025
UAV2UAV-2,SUTrack-B224,normalized_precision,0.15,0.8576457487697116
UAV2UAV-2,SUTrack-B224,normalized_precision,0.16,0.8658716189518302
UAV2UAV-2,SUTrack-B224,normalized_precision,0.17,0.8730557850497503
UAV2UAV-2,SUTrack-B224,normalized_precision,0.18,0.8788749595890657
UAV2UAV-2,SUTrack-B224,normalized_precision,0.19,0.884334925823485
UAV2UAV-2,SUTrack-B224,normalized_precision,0.2,0.8890405546176228
UAV2UAV-2,SUTrack-B224,normalized_precision,0.21,0.893602500089802
UAV2UAV-2,SUTrack-B224,normalized_precision,0.22,0.8965120873594598
UAV2UAV-2,SUTrack-B224,normalized_precision,0.23,0.8990265454937318
UAV2UAV-2,SUTrack-B224,normalized_precision,0.24,0.9011817953231078
UAV2UAV-2,SUTrack-B224,normalized_precision,0.25,0.9042350659147239
UAV2UAV-2,SUTrack-B224,normalized_precision,0.26,0.9064621574050792
UAV2UAV-2,SUTrack-B224,normalized_precision,0.27,0.9088688530478825
UAV2UAV-2,SUTrack-B224,normalized_precision,0.28,0.9103775279284457
UAV2UAV-2,SUTrack-B224,normalized_precision,0.29,0.9114192320126442
UAV2UAV-2,SUTrack-B224,normalized_precision,0.3,0.9127483027407594
UAV2UAV-2,SUTrack-B224,normalized_precision,0.31,0.9136104026725098
UAV2UAV-2,SUTrack-B224,normalized_precision,0.32,0.9146521067567082
UAV2UAV-2,SUTrack-B224,normalized_precision,0.33,0.9156219691799274
UAV2UAV-2,SUTrack-B224,normalized_precision,0.34,0.9165918316031466
UAV2UAV-2,SUTrack-B224,normalized_precision,0.35000000000000003,0.9173820898739179
UAV2UAV-2,SUTrack-B224,normalized_precision,0.36,0.9181364273141995
UAV2UAV-2,SUTrack-B224,normalized_precision,0.37,0.9189266855849707
UAV2UAV-2,SUTrack-B224,normalized_precision,0.38,0.9197528646862315
UAV2UAV-2,SUTrack-B224,normalized_precision,0.39,0.9202198354825963
UAV2UAV-2,SUTrack-B224,normalized_precision,0.4,0.9205431229570028
UAV2UAV-2,SUTrack-B224,normalized_precision,0.41000000000000003,0.9211178562448363
