dataset,method,sequence,frames,evaluated_frames,absent_frames,success_auc,average_overlap,sr_0.50,sr_0.75,precision_10px,precision_20px,normalized_precision_auc,mean_iou,mean_center_error_px,median_center_error_px,rmse_center_error_px,iou_lt_0.1
UAV2UAV,SUTrack-B224,test1_DJI_0081_1,217,217,0,0.7559798112793505,0.7690715097185072,0.9493087557603687,0.7880184331797235,0.8847926267281107,0.9493087557603687,0.7631697840426493,0.7690715097185072,17.00302803727475,5.984940637971744,51.78858864823855,0.04608294930875576
UAV2UAV,SUTrack-B224,test1_DJI_0081_2,729,729,0,0.8923509046965837,0.91034866487621,1.0,0.99039780521262,0.8161865569272977,0.9849108367626886,0.9430592538798783,0.91034866487621,6.115799692865749,4.6710750269258545,7.73872148498851,0.0
UAV2UAV,SUTrack-B224,test1_DJI_0081_3,129,129,0,0.7515688445921004,0.7628602260763938,0.9069767441860465,0.7209302325581395,0.6589147286821705,0.8837209302325582,0.779449764401885,0.7628602260763938,11.057316007852299,7.183668867552651,20.375960707707854,0.023255813953488372
UAV2UAV,SUTrack-B224,test1_DJI_0081_4,314,314,0,0.8290870488322717,0.8461397386147563,1.0,0.8853503184713376,1.0,1.0,0.9008992131884601,0.8461397386147563,2.4276074299945005,2.1393841910973865,2.8748308155541755,0.0
UAV2UAV,SUTrack-B224,test3_DJI_0087_1,400,400,0,0.9013095238095239,0.9214821616673393,1.0,0.9775,0.715,0.92,0.9375,0.9214821616673393,8.283116289965214,5.927155734761767,11.620438271193587,0.0
UAV2UAV,SUTrack-B224,test3_DJI_0087_2,319,319,0,0.8341543513957306,0.8506510661047259,0.9467084639498433,0.8589341692789969,0.7648902821316614,0.8714733542319749,0.8477472493699675,0.8506510661047259,10.011718712738338,3.801005554407466,20.947178615628353,0.009404388714733543
UAV2UAV,SUTrack-B224,test3_DJI_0087_3,165,165,0,0.11024531024531023,0.07491978518339552,0.030303030303030304,0.01818181818181818,0.012121212121212121,0.01818181818181818,0.029946524064171125,0.07491978518339552,753.1826584200472,1019.8852753007689,928.686197434128,0.7393939393939394
UAV2UAV,SUTrack-B224,test3_DJI_0087_4,200,200,0,0.8526190476190475,0.8686754365486141,1.0,0.93,0.94,0.99,0.8926470588235293,0.8686754365486141,3.4268345677634535,2.261880193509615,5.142743454427843,0.0
UAV2UAV,SUTrack-B224,test3_DJI_0087_5,302,302,0,0.8607694733522547,0.8786697051299099,0.9867549668874173,0.8940397350993378,0.6986754966887417,0.9139072847682119,0.885014933125568,0.8786697051299099,8.647979325655722,6.0712661535958645,12.280155361025823,0.0
UAV2UAV,SUTrack-B224,test3_DJI_0087_6,516,516,0,0.7936507936507935,0.8075476358702576,0.9515503875968992,0.748062015503876,0.8565891472868217,0.9496124031007752,0.8273673810609518,0.8075476358702576,6.067816358477151,2.503655094685783,14.9524376146275,0.009689922480620155
UAV2UAV,SUTrack-B224,test3_DJI_0087_7,159,159,0,0.2458820005989818,0.23328267268242292,0.025157232704402517,0.012578616352201259,0.012578616352201259,0.025157232704402517,0.06622271550129487,0.23328267268242292,56.847781634951346,53.28781881453368,60.38714276681538,0.23270440251572327
UAV2UAV,SUTrack-B224,test3_DJI_0087_8,211,211,0,0.8616565109456105,0.8793612093915972,1.0,0.8909952606635071,0.9052132701421801,1.0,0.8872781340024162,0.8793612093915972,4.315867802346078,2.9336900783205264,5.652374639835066,0.0
UAV2UAV,SUTrack-B224,test4_DJI_0101_1,986,986,0,0.8105863034869122,0.8260385217674444,0.9989858012170385,0.8630831643002028,0.9645030425963489,1.0,0.9281907489161993,0.8260385217674444,3.7443578010486798,2.9107193110437795,4.645079048419457,0.0
UAV2UAV,SUTrack-B224,test4_DJI_0101_2,556,556,0,0.7696128811236724,0.7821310607457114,0.9838129496402878,0.6205035971223022,0.670863309352518,0.9424460431654677,0.896882494004796,0.7821310607457114,8.703965246897445,7.127654613056577,11.258265678224534,0.0
UAV2UAV,SUTrack-B224,test4_DJI_0101_3,248,248,0,0.5627880184331796,0.5591283000365217,0.6814516129032258,0.4475806451612903,0.5241935483870968,0.6733870967741935,0.5921094244149273,0.5591283000365217,101.17441318162022,9.078901926583917,194.66258707497676,0.24596774193548387
UAV2UAV,SUTrack-B224,test4_DJI_0101_4,836,836,0,0.7216336295283664,0.7319939325704327,0.8863636363636364,0.6064593301435407,0.8564593301435407,0.937799043062201,0.8364762172811708,0.7319939325704327,11.4738034305833,3.282992257804942,44.46878205450253,0.019138755980861243
UAV2UAV,SUTrack-B224,test5_DJI_0102_1,60,60,0,0.6388888888888888,0.6461817292587174,0.6666666666666666,0.43333333333333335,0.55,0.6833333333333333,0.7130718954248365,0.6461817292587174,18.711304583791154,6.756998170346611,28.20937683243179,0.016666666666666666
UAV2UAV,SUTrack-B224,test5_DJI_0102_2,306,306,0,0.813569872393402,0.8285616452198994,0.9575163398692811,0.8202614379084967,0.8529411764705882,0.9444444444444444,0.8530052543893375,0.8285616452198994,5.480495431217748,2.47081465314647,9.340228143906973,0.0
UAV2UAV,SUTrack-B224,test5_DJI_0102_3,217,217,0,0.8308097432521396,0.847663771741612,0.9953917050691244,0.8294930875576036,0.7695852534562212,0.9078341013824884,0.8598536188669017,0.847663771741612,7.421676155182466,3.81259593264447,11.56655238881219,0.0
UAV2UAV,SUTrack-B224,test5_DJI_0102_4,676,676,0,0.8038884192730346,0.8195557823474753,0.9600591715976331,0.7973372781065089,0.9585798816568047,0.9985207100591716,0.8636442742777586,0.8195557823474753,2.5632620385676232,1.358147875349154,4.025655084365175,0.0
UAV2UAV,SUTrack-B224,test6_DJI_0103_1,1544,1544,0,0.7460831482852208,0.7587431225761372,0.9462435233160622,0.6139896373056994,0.8536269430051814,0.9533678756476683,0.8226277557655186,0.7587431225761372,11.195557338324972,3.386152470977157,76.46947322926015,0.006476683937823834
UAV2UAV,SUTrack-B224,test6_DJI_0103_2,451,451,0,0.16175694224474715,0.12388188127150322,0.15299334811529933,0.09090909090909091,0.082039911308204,0.12195121951219512,0.12908134428937873,0.12388188127150322,687.158103494743,790.1857944151745,793.3182807023105,0.8314855875831486
UAV2UAV,SUTrack-B224,test6_DJI_0103_3,103,103,0,0.05686546463245492,0.01444727383109947,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077667,0.01444727383109947,996.6014061545335,794.9930050756956,1174.7868732655097,0.9902912621359223
UAV2UAV,SUTrack-B224,test6_DJI_0103_4,1566,1566,0,0.7325913762695372,0.7408953344930082,0.8614303959131545,0.7547892720306514,0.7496807151979565,0.8422733077905492,0.7659830215611149,0.7408953344930082,110.85188023123483,3.78720821605574,317.83447263597026,0.1251596424010217
UAV2UAV,SUTrack-B224,test6_DJI_0103_5,1051,1051,0,0.7337229849123285,0.742714580662805,0.8534728829686014,0.7354900095147479,0.6679352997145576,0.7602283539486203,0.7599858211600529,0.742714580662805,108.1158717001266,4.875667285413887,312.3404887461589,0.11988582302568981
